pdf_file,source_title,suggested_main_figure,ocr_path,note_crop,status
Anaphora - KM_C301i26040910440.pdf,Anaphora,Anaphora,ocr/Anaphora - KM_C301i26040910440/ocr.txt,note_crops/Anaphora - KM_C301i26040910440_note.png,ocr_done
"Annominatio, Polyptoton - KM_C301i26040910460.pdf","Annominatio, Polyptoton",Annominatio,"ocr/Annominatio, Polyptoton - KM_C301i26040910460/ocr.txt","note_crops/Annominatio, Polyptoton - KM_C301i26040910460_note.png",ocr_done
Antitheton - KM_C301i26040910580.pdf,Antitheton,Antitheton,ocr/Antitheton - KM_C301i26040910580/ocr.txt,note_crops/Antitheton - KM_C301i26040910580_note.png,ocr_done
Antitheton - KM_C301i26040910590.pdf,Antitheton,Antitheton,ocr/Antitheton - KM_C301i26040910590/ocr.txt,note_crops/Antitheton - KM_C301i26040910590_note.png,ocr_done
"Asyndeton, Anastrophe - KM_C301i26040910520.pdf","Asyndeton, Anastrophe",Asyndeton,"ocr/Asyndeton, Anastrophe - KM_C301i26040910520/ocr.txt","note_crops/Asyndeton, Anastrophe - KM_C301i26040910520_note.png",ocr_done
"Brachylogia, Praeteritio - KM_C301i26040911070.pdf","Brachylogia, Praeteritio",Brachylogia,"ocr/Brachylogia, Praeteritio - KM_C301i26040911070/ocr.txt","note_crops/Brachylogia, Praeteritio - KM_C301i26040911070_note.png",ocr_done
"Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum - KM_C301i26040911030.pdf","Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum",Commoratio,"ocr/Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum - KM_C301i26040911030/ocr.txt","note_crops/Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum - KM_C301i26040911030_note.png",ocr_done
"Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum - KM_C301i26040911040.pdf","Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum",Commoratio,"ocr/Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum - KM_C301i26040911040/ocr.txt","note_crops/Commoratio, Exploitatio, De eadem re dicendo, Commutatio verborum - KM_C301i26040911040_note.png",ocr_done
"Communicatio, Definitio, Conciliatio - KM_C301i26040910570.pdf","Communicatio, Definitio, Conciliatio",Communicatio,"ocr/Communicatio, Definitio, Conciliatio - KM_C301i26040910570/ocr.txt","note_crops/Communicatio, Definitio, Conciliatio - KM_C301i26040910570_note.png",ocr_done
"Commutatio, Distinctio - KM_C301i26040911000.pdf","Commutatio, Distinctio",Commutatio,"ocr/Commutatio, Distinctio - KM_C301i26040911000/ocr.txt","note_crops/Commutatio, Distinctio - KM_C301i26040911000_note.png",ocr_done
"Derivatio, Synonymia - KM_C301i26040910470.pdf","Derivatio, Synonymia",Derivatio,"ocr/Derivatio, Synonymia - KM_C301i26040910470/ocr.txt","note_crops/Derivatio, Synonymia - KM_C301i26040910470_note.png",ocr_done
"Detractio, Zeugma - KM_C301i26040910510.pdf","Detractio, Zeugma",Detractio,"ocr/Detractio, Zeugma - KM_C301i26040910510/ocr.txt","note_crops/Detractio, Zeugma - KM_C301i26040910510_note.png",ocr_done
Disiunctio - KM_C301i26040910550.pdf,Disiunctio,Disiunctio,ocr/Disiunctio - KM_C301i26040910550/ocr.txt,note_crops/Disiunctio - KM_C301i26040910550_note.png,ocr_done
"Disiunctio, Adiunctio - KM_C301i26040910551.pdf","Disiunctio, Adiunctio",Disiunctio,"ocr/Disiunctio, Adiunctio - KM_C301i26040910551/ocr.txt","note_crops/Disiunctio, Adiunctio - KM_C301i26040910551_note.png",ocr_done
"Epiphora, Complexio - KM_C301i26040910450.pdf","Epiphora, Complexio",Epiphora,"ocr/Epiphora, Complexio - KM_C301i26040910450/ocr.txt","note_crops/Epiphora, Complexio - KM_C301i26040910450_note.png",ocr_done
"Epiphora, Complexio, Annominatio, Polyptoton - KM_C301i26040910451.pdf","Epiphora, Complexio, Annominatio, Polyptoton",Epiphora,"ocr/Epiphora, Complexio, Annominatio, Polyptoton - KM_C301i26040910451/ocr.txt","note_crops/Epiphora, Complexio, Annominatio, Polyptoton - KM_C301i26040910451_note.png",ocr_done
"Evidentia, Sermocinatio, Fictio personae, Commoratio - KM_C301i26040911012.pdf","Evidentia, Sermocinatio, Fictio personae, Commoratio",Evidentia,"ocr/Evidentia, Sermocinatio, Fictio personae, Commoratio - KM_C301i26040911012/ocr.txt","note_crops/Evidentia, Sermocinatio, Fictio personae, Commoratio - KM_C301i26040911012_note.png",ocr_done
"Gedankenfiguren, Figurae sententiae - KM_C301i26040910560.pdf","Gedankenfiguren, Figurae sententiae",Gedankenfiguren,"ocr/Gedankenfiguren, Figurae sententiae - KM_C301i26040910560/ocr.txt","note_crops/Gedankenfiguren, Figurae sententiae - KM_C301i26040910560_note.png",ocr_done
"Homoeoteleuton, Homoeoptoton - KM_C301i26040910540.pdf","Homoeoteleuton, Homoeoptoton",Homoeoteleuton,"ocr/Homoeoteleuton, Homoeoptoton - KM_C301i26040910540/ocr.txt","note_crops/Homoeoteleuton, Homoeoptoton - KM_C301i26040910540_note.png",ocr_done
"Isocolon, Homoeoteleuton - KM_C301i26040910530.pdf","Isocolon, Homoeoteleuton",Isocolon,"ocr/Isocolon, Homoeoteleuton - KM_C301i26040910530/ocr.txt","note_crops/Isocolon, Homoeoteleuton - KM_C301i26040910530_note.png",ocr_done
"Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911001.pdf","Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia",Onomasiologische Distinctio,"ocr/Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911001/ocr.txt","note_crops/Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911001_note.png",ocr_done
"Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911010.pdf","Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia",Onomasiologische Distinctio,"ocr/Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911010/ocr.txt","note_crops/Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911010_note.png",ocr_done
"Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911011.pdf","Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia",Onomasiologische Distinctio,"ocr/Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911011/ocr.txt","note_crops/Onomasiologische Distinctio, Oxymoron, Exclamatio, Evidentia - KM_C301i26040911011_note.png",ocr_done
Paromoeosis - KM_C301i26040910541.pdf,Paromoeosis,Paromoeosis,ocr/Paromoeosis - KM_C301i26040910541/ocr.txt,note_crops/Paromoeosis - KM_C301i26040910541_note.png,ocr_done
